coinmarketcap,currency,github,website
https://coinmarketcap.com/currencies/bitsend/,bitsend,https://github.com/LIMXTEC/BitSend,http://www.bitsend.info/
https://coinmarketcap.com/currencies/bytecoin-bcn/,bytecoin-bcn,https://github.com/amjuarez/bytecoin,https://bytecoin.org/
https://coinmarketcap.com/currencies/firstcoin/,firstcoin,,http://firstcoinproject.com/
https://coinmarketcap.com/currencies/blocknet/,blocknet,https://github.com/atcsecure,http://blocknet.co/
https://coinmarketcap.com/currencies/rimbit/,rimbit,https://github.com/Rimbit,http://www.rimbit.com
https://coinmarketcap.com/currencies/10mtoken/,10mtoken,,https://www.10mtoken.com/
https://coinmarketcap.com/currencies/agrello-delta/,agrello-delta,,https://www.agrello.org/
https://coinmarketcap.com/currencies/rsgpcoin/,rsgpcoin,https://github.com/ulandort/RSGPRepo,http://rsgpcoin.com/
https://coinmarketcap.com/currencies/todaycoin/,todaycoin,https://github.com/todayimage/todayimage-source,
https://coinmarketcap.com/currencies/vericoin/,vericoin,https://github.com/vericoin/vericoin,http://www.vericoin.info/
https://coinmarketcap.com/currencies/slevin/,slevin,,
https://coinmarketcap.com/currencies/upfiring/,upfiring,,https://www.upfiring.com/
https://coinmarketcap.com/currencies/prime-xi/,prime-xi,,http://prime-xi.com
https://coinmarketcap.com/currencies/kushcoin/,kushcoin,https://github.com/kushcoin-project/kushcoin,https://kushcoin.co
https://coinmarketcap.com/currencies/version/,version,,http://version2.org/
https://coinmarketcap.com/currencies/richcoin/,richcoin,,
https://coinmarketcap.com/currencies/huntercoin/,huntercoin,https://github.com/chronokings/huntercoin,http://huntercoin.org/
https://coinmarketcap.com/currencies/blackmoon-crypto/,blackmoon-crypto,https://github.com/blackmoonfg,https://www.blackmooncrypto.com/
https://coinmarketcap.com/currencies/shift/,shift,https://github.com/ShiftNrg,http://www.shiftnrg.org
https://coinmarketcap.com/currencies/nebulas-token/,nebulas-token,https://github.com/nebulasio,https://nebulas.io/
https://coinmarketcap.com/currencies/vivo/,vivo,https://github.com/vivocoin/vivo/,https://www.vivocrypto.com/
https://coinmarketcap.com/currencies/supercoin/,supercoin,https://github.com/CryptoUnited/SuperCoin,http://www.the-node.net/
https://coinmarketcap.com/currencies/etheroll/,etheroll,,https://etheroll.com/
https://coinmarketcap.com/currencies/newyorkcoin/,newyorkcoin,https://github.com/nycoin/nycoin,http://nycoin.net/
https://coinmarketcap.com/currencies/namocoin/,namocoin,https://github.com/namocoin/NamoCoin,http://namocoin.co.in/
https://coinmarketcap.com/currencies/bcap/,bcap,,http://blockchain.capital/
https://coinmarketcap.com/currencies/tattoocoin-limited/,tattoocoin-limited,,http://tattoocoin.net/
https://coinmarketcap.com/currencies/ibank/,ibank,https://github.com/ibankgroup/Ibank,
https://coinmarketcap.com/currencies/amsterdamcoin/,amsterdamcoin,https://github.com/CoinProjects/AmsterdamCoin-v4/,http://amsterdamcoin.com/
https://coinmarketcap.com/currencies/force/,force,https://github.com/forceunited/,https://forcecoin.io/
https://coinmarketcap.com/currencies/geertcoin/,geertcoin,https://github.com/GeertAltCoin/Geertcoin,
https://coinmarketcap.com/currencies/solarflarecoin/,solarflarecoin,https://github.com/solarflareproject/solarflarecoin,http://solarflarecoin.us/
https://coinmarketcap.com/currencies/digital-developers-fund/,digital-developers-fund,,https://www.digitaldevelopersfund.com/
https://coinmarketcap.com/currencies/international-diamond/,international-diamond,,http://xidcoin.com/
https://coinmarketcap.com/currencies/kurrent/,kurrent,https://github.com/kurrentproject/Kurrent,http://kurrentproject.com/
https://coinmarketcap.com/currencies/sprouts/,sprouts,https://github.com/SproutsCommunityRep/sprouts,https://sproutscommunity.wordpress.com/
https://coinmarketcap.com/currencies/einsteinium/,einsteinium,https://github.com/emc2foundation/einsteinium,https://www.emc2.foundation/
https://coinmarketcap.com/currencies/nodecoin/,nodecoin,https://github.com/nodecoins/sources,
https://coinmarketcap.com/currencies/trumpcoin/,trumpcoin,,http://www.trumpcoin.com
https://coinmarketcap.com/currencies/zengold/,zengold,,http://www.zengold.org/
https://coinmarketcap.com/currencies/crypto/,crypto,https://github.com/crypto-official/crypto,http://tailflick.wix.com/official-crypto
https://coinmarketcap.com/currencies/omicron/,omicron,https://github.com/Gladimor/Omicron-Investment-Platform,http://delta.investments/
https://coinmarketcap.com/currencies/maidsafecoin/,maidsafecoin,https://github.com/maidsafe,http://maidsafe.net
https://coinmarketcap.com/currencies/nimiq/,nimiq,https://github.com/nimiq-network,https://nimiq.com/
https://coinmarketcap.com/currencies/yocoin/,yocoin,,http://www.yocoin.org/
https://coinmarketcap.com/currencies/moneta2/,moneta2,https://github.com/moneta-project,http://moneta.io/
https://coinmarketcap.com/currencies/tristar-coin/,tristar-coin,,http://www.tristarcoin.com/
https://coinmarketcap.com/currencies/coss/,coss,,https://coss.io/
https://coinmarketcap.com/currencies/digital-bullion-gold/,digital-bullion-gold,https://github.com/DBGold/DBGold,http://digitalbulliongold.com/
https://coinmarketcap.com/currencies/sooncoin/,sooncoin,,http://www.sooncoin.com/
https://coinmarketcap.com/currencies/jetcoin/,jetcoin,,http://www.jetcoininstitute.com/
https://coinmarketcap.com/currencies/songcoin/,songcoin,https://github.com/Songcoin/Songcoin,http://www.songcoin.org
https://coinmarketcap.com/currencies/synereo/,synereo,https://github.com/synereo,http://www.synereo.com/
